z_um,width_um
1.902959765238988743e-01,3.918366577930161576e-03
1.943344318517419567e-01,4.038455327843069355e-03
1.983017151411851364e-01,3.967283289443191037e-03
2.021978475474656700e-01,3.896132406280532721e-03
2.061873422867379624e-01,3.989494739272303643e-03
2.102120146174608628e-01,4.024672330722907365e-03
2.141185793774401380e-01,3.906564759979284755e-03
2.180510147085969463e-01,3.932435331156812659e-03
2.220958221661978871e-01,4.044807457600949410e-03
2.260441294137341683e-01,3.948307247536285598e-03
2.299439727114812038e-01,3.899843297747039323e-03
2.339527661733431241e-01,4.008793461861909040e-03
2.379604920300470716e-01,4.007725856703938001e-03
2.418600400897565339e-01,3.899548059709453604e-03
2.458093791888264767e-01,3.949339099069954992e-03
2.498539562484509979e-01,4.044577059624528993e-03
2.537854311197493828e-01,3.931474871298406594e-03
2.576924584791490114e-01,3.907027359399635469e-03
2.617179667377845242e-01,4.025508258635492054e-03
2.657062763905488345e-01,3.988309652764288581e-03
2.696022778183999047e-01,3.896001427851068007e-03
2.735706728863346315e-01,3.968395067934705166e-03
2.776085632659632818e-01,4.037890379628674559e-03
2.815262036269877699e-01,3.917640361024488094e-03
2.854439121062103402e-01,3.917708479222549445e-03
2.894818386587800774e-01,4.037926552569734602e-03
2.934501269967773607e-01,3.968288337997259892e-03
2.973461386683466934e-01,3.896011671569352217e-03
3.013345638916956060e-01,3.988425223348897840e-03
3.053599961975902444e-01,4.025432305894655755e-03
3.092669956572823287e-01,3.906999459692065205e-03
3.131986011895449007e-01,3.931605532262595452e-03
3.172432208139849275e-01,4.044619624440020690e-03
3.211924585577209945e-01,3.949237743736053186e-03
3.250920211365925794e-01,3.899562578871595270e-03
3.290998819073208126e-01,4.007860770728214131e-03
3.331085802787138728e-01,4.008698371393055841e-03
3.370083657655268405e-01,3.899785486812942618e-03
3.409567824754953236e-01,3.948416709968456152e-03
3.450016285814203609e-01,4.044846105925034747e-03
3.489339730595577005e-01,3.932344478137336959e-03
3.528405949121343199e-01,3.906621852576615955e-03
3.568654506754828093e-01,4.024855763348488512e-03
3.608548436938291415e-01,3.989393018346308779e-03
3.647509169915542082e-01,3.896073297725074526e-03
3.687184032433108438e-01,3.967486251756661628e-03
3.727567756018876910e-01,4.038372358576843707e-03
3.766750343478239560e-01,3.918258745936254589e-03
3.805920394019505215e-01,3.917005054126538634e-03
3.846296145561692859e-01,4.037575154218787758e-03
3.885987908178954453e-01,3.969176261726178531e-03
3.924947144654803988e-01,3.895923647584952163e-03
3.964621697669536426e-01,3.967455301473254287e-03
4.005945505020664377e-01,4.132380735112816707e-03
4.044011416402350512e-01,3.806591138168594849e-03
4.082488206874904102e-01,3.847679047255336913e-03
4.124839920036431073e-01,4.235171316152676335e-03
4.163734045231452519e-01,3.889412519502151010e-03
4.201674904945066902e-01,3.794085971361443096e-03
4.242443834992895568e-01,4.076893004782862311e-03
4.283321977545443415e-01,4.087814255254811589e-03
4.321277092923883623e-01,3.795511537844011192e-03
4.360106686427842604e-01,3.882959350395890318e-03
4.402478317972967070e-01,4.237163154512453567e-03
4.441001002704497158e-01,3.852268473153000559e-03
4.479043783177145688e-01,3.804278047264869015e-03
4.520552663287222273e-01,4.150888011007667147e-03
4.560653197974045558e-01,4.010053468682351144e-03
4.598550697594789849e-01,3.789749962074407362e-03
4.637865349178910135e-01,3.931465158412051145e-03
4.679997484364419313e-01,4.213213518550944746e-03
4.718253612548867215e-01,3.825612818444766756e-03
4.756465752628495913e-01,3.821214007962892793e-03
4.798518521023271144e-01,4.205276839477512657e-03
4.837950223807734318e-01,3.943170278446344289e-03
4.875841223003742897e-01,3.789099919600844458e-03
4.915799102895739847e-01,3.995787989199719309e-03
