z_um,width_um
3.964520215988158805e-03,3.964520215988158805e-03
7.929040431976317610e-03,3.964520215988158805e-03
1.189356064796447641e-02,3.964520215988158805e-03
1.585808086395263522e-02,3.964520215988158805e-03
1.982260107994079229e-02,3.964520215988158805e-03
2.378712129592894936e-02,3.964520215988158805e-03
2.775164151191710643e-02,3.964520215988158805e-03
3.171616172790526350e-02,3.964520215988158805e-03
3.568068194389342057e-02,3.964520215988158805e-03
3.964520215988157764e-02,3.964520215988158805e-03
4.360972237586973471e-02,3.964520215988158805e-03
4.757424259185789178e-02,3.964520215988158805e-03
5.153876280784604885e-02,3.964520215988158805e-03
5.550328302383420592e-02,3.964520215988158805e-03
5.946780323982236299e-02,3.964520215988158805e-03
6.343232345581052700e-02,3.964520215988158805e-03
6.739684367179868407e-02,3.964520215988158805e-03
7.136136388778684114e-02,3.964520215988158805e-03
7.532588410377499821e-02,3.964520215988158805e-03
7.929040431976315528e-02,3.964520215988158805e-03
8.325492453575131235e-02,3.964520215988158805e-03
8.721944475173946942e-02,3.964520215988158805e-03
9.118396496772762649e-02,3.964520215988158805e-03
9.514848518371578356e-02,3.964520215988158805e-03
9.911300539970394063e-02,3.964520215988158805e-03
1.030775256156920977e-01,3.964520215988158805e-03
1.070420458316802548e-01,3.964520215988158805e-03
1.110065660476684118e-01,3.964520215988158805e-03
1.149710862636565689e-01,3.964520215988158805e-03
1.189356064796447260e-01,3.964520215988158805e-03
1.229001266956328831e-01,3.964520215988158805e-03
1.268646469116210540e-01,3.964520215988158805e-03
1.308291671276092250e-01,3.964520215988158805e-03
1.347936873435973959e-01,3.964520215988158805e-03
1.387582075595855668e-01,3.964520215988158805e-03
1.427227277755737378e-01,3.964520215988158805e-03
1.466872479915619087e-01,3.964520215988158805e-03
1.506517682075500797e-01,3.964520215988158805e-03
1.546162884235382506e-01,3.964520215988158805e-03
1.585808086395264216e-01,3.964520215988158805e-03
1.625453288555145925e-01,3.964520215988158805e-03
1.665098490715027635e-01,3.964520215988158805e-03
1.704743692874909344e-01,3.964520215988158805e-03
1.744388895034791054e-01,3.964520215988158805e-03
1.784034097194672763e-01,3.964520215988158805e-03
1.823679299354554473e-01,3.964520215988158805e-03
1.863324501514436182e-01,3.964520215988158805e-03
1.902969703674317892e-01,3.964520215988158805e-03
1.942614905834199601e-01,3.964520215988158805e-03
1.982260107994081311e-01,3.964520215988158805e-03
2.021905310153963020e-01,3.964520215988158805e-03
2.061550512313844730e-01,3.964520215988158805e-03
2.101195714473726439e-01,3.964520215988158805e-03
2.140840916633608149e-01,3.964520215988158805e-03
2.180486118793489858e-01,3.964520215988158805e-03
2.220131320953371568e-01,3.964520215988158805e-03
2.259776523113253277e-01,3.964520215988158805e-03
2.299421725273134987e-01,3.964520215988158805e-03
2.339066927433016696e-01,3.964520215988158805e-03
2.378712129592898405e-01,3.964520215988158805e-03
2.418357331752780115e-01,3.964520215988158805e-03
2.458002533912661824e-01,3.964520215988158805e-03
2.497647736072543534e-01,3.964520215988158805e-03
2.537292938232424966e-01,3.964520215988158805e-03
2.576938140392306398e-01,3.964520215988158805e-03
2.616583342552187830e-01,3.964520215988158805e-03
2.656228544712069262e-01,3.964520215988158805e-03
2.695873746871950694e-01,3.964520215988158805e-03
2.735518949031832125e-01,3.964520215988158805e-03
2.775164151191713557e-01,3.964520215988158805e-03
2.814809353351594989e-01,3.964520215988158805e-03
2.854454555511476421e-01,3.964520215988158805e-03
2.894099757671357853e-01,3.964520215988158805e-03
2.933744959831239285e-01,3.964520215988158805e-03
2.973390161991120717e-01,3.964520215988158805e-03
3.013035364151002149e-01,3.964520215988158805e-03
3.052680566310883581e-01,3.964520215988158805e-03
3.092325768470765013e-01,3.964520215988158805e-03
3.131970970630646445e-01,3.964520215988158805e-03
3.171616172790527877e-01,3.964520215988158805e-03
3.211261374950409309e-01,3.964520215988158805e-03
3.250906577110290741e-01,3.964520215988158805e-03
3.290551779270172172e-01,3.964520215988158805e-03
3.330196981430053604e-01,3.964520215988158805e-03
3.369842183589935036e-01,3.964520215988158805e-03
3.409487385749816468e-01,3.964520215988158805e-03
3.449132587909697900e-01,3.964520215988158805e-03
3.488777790069579332e-01,3.964520215988158805e-03
3.528422992229460764e-01,3.964520215988158805e-03
3.568068194389342196e-01,3.964520215988158805e-03
3.607713396549223628e-01,3.964520215988158805e-03
3.647358598709105060e-01,3.964520215988158805e-03
3.687003800868986492e-01,3.964520215988158805e-03
3.726649003028867924e-01,3.964520215988158805e-03
3.766294205188749356e-01,3.964520215988158805e-03
3.805939407348630787e-01,3.964520215988158805e-03
3.845584609508512219e-01,3.964520215988158805e-03
3.885229811668393651e-01,3.964520215988158805e-03
3.924875013828275083e-01,3.964520215988158805e-03
3.964520215988156515e-01,3.964520215988158805e-03
4.004165418148037947e-01,3.964520215988158805e-03
4.043810620307919379e-01,3.964520215988158805e-03
4.083455822467800811e-01,3.964520215988158805e-03
4.123101024627682243e-01,3.964520215988158805e-03
4.162746226787563675e-01,3.964520215988158805e-03
4.202391428947445107e-01,3.964520215988158805e-03
4.242036631107326539e-01,3.964520215988158805e-03
4.281681833267207971e-01,3.964520215988158805e-03
4.321327035427089402e-01,3.964520215988158805e-03
4.360972237586970834e-01,3.964520215988158805e-03
4.400617439746852266e-01,3.964520215988158805e-03
4.440262641906733698e-01,3.964520215988158805e-03
4.479907844066615130e-01,3.964520215988158805e-03
4.519553046226496562e-01,3.964520215988158805e-03
4.559198248386377994e-01,3.964520215988158805e-03
4.598843450546259426e-01,3.964520215988158805e-03
4.638488652706140858e-01,3.964520215988158805e-03
4.678133854866022290e-01,3.964520215988158805e-03
4.717779057025903722e-01,3.964520215988158805e-03
4.757424259185785154e-01,3.964520215988158805e-03
4.797069461345666586e-01,3.964520215988158805e-03
4.836714663505548017e-01,3.964520215988158805e-03
4.876359865665429449e-01,3.964520215988158805e-03
4.916005067825310881e-01,3.964520215988158805e-03
4.955650269985192313e-01,3.964520215988158805e-03
4.995295472145073745e-01,3.964520215988158805e-03
5.034940674304955177e-01,3.964520215988158805e-03
5.074585876464836609e-01,3.964520215988158805e-03
5.114231078624718041e-01,3.964520215988158805e-03
5.153876280784599473e-01,3.964520215988158805e-03
5.193521482944480905e-01,3.964520215988158805e-03
5.233166685104362337e-01,3.964520215988158805e-03
