z_um,fw_amp,sh_amp,th_amp
1.347936873435974237e-01,3.162216768945457002e+00,1.962412277008001790e-02,2.391717639548876546e-06
1.387582075595855668e-01,3.162213022717319078e+00,2.021877718899182594e-02,2.458153753600961280e-06
1.427227277755737378e-01,3.162209164669215866e+00,2.081343018080201654e-02,2.489376253819946509e-06
1.466872479915618810e-01,3.162205194801802399e+00,2.140808169519698920e-02,2.587775649498156694e-06
1.506517682075500519e-01,3.162201113115798101e+00,2.200273169539969376e-02,2.686432336483537445e-06
1.546162884235381951e-01,3.162196919611944601e+00,2.259738014489157121e-02,2.718112051844914154e-06
1.585808086395263661e-01,3.162192614290954218e+00,2.319202699348509034e-02,2.783812327131891780e-06
1.625453288555145370e-01,3.162188197153583236e+00,2.378667219779746073e-02,2.899101776068911209e-06
1.665098490715026802e-01,3.162183668200645670e+00,2.438131572460026583e-02,2.954757974422806533e-06
1.704743692874908512e-01,3.162179027432928891e+00,2.497595752861523147e-02,2.991468182623746230e-06
1.744388895034789944e-01,3.162174274851226485e+00,2.557059756063655848e-02,3.097839260670620462e-06
1.784034097194671653e-01,3.162169410456406649e+00,2.616523578553863957e-02,3.186908085755925166e-06
1.823679299354553085e-01,3.162164434249344236e+00,2.675987216485009937e-02,3.215496332193575612e-06
1.863324501514434794e-01,3.162159346230881241e+00,2.735450664774926460e-02,3.292461592115235273e-06
1.902969703674316504e-01,3.162154146401921828e+00,2.794913919314239228e-02,3.404944448263194402e-06
1.942614905834197936e-01,3.162148834763421679e+00,2.854376976726134482e-02,3.450829015357232299e-06
1.982260107994079645e-01,3.162143411316296060e+00,2.913839832282667103e-02,3.495365855933055857e-06
2.021905310153961077e-01,3.162137876061478448e+00,2.973302481221542365e-02,3.607446867511434513e-06
2.061550512313842787e-01,3.162132228999986250e+00,3.032764920149483984e-02,3.685778879481705172e-06
2.101195714473724496e-01,3.162126470132823997e+00,3.092227145000402133e-02,3.714123895107660543e-06
2.140840916633605928e-01,3.162120599460967352e+00,3.151689150686955848e-02,3.802015097225078468e-06
2.180486118793487638e-01,3.162114616985469251e+00,3.211150933322400730e-02,3.909039957013899141e-06
2.220131320953369070e-01,3.162108522707423930e+00,3.270612489421101388e-02,3.946825726832711731e-06
2.259776523113250779e-01,3.162102316627873666e+00,3.330073814089754697e-02,4.001008683730718117e-06
2.299421725273132211e-01,3.162095998747897152e+00,3.389534902761387469e-02,4.116157814771362562e-06
2.339066927433013920e-01,3.162089569068657458e+00,3.448995752108256763e-02,4.183305058177738603e-06
2.378712129592895630e-01,3.162083027591285678e+00,3.508456357836205186e-02,4.214287244910121160e-06
2.418357331752777062e-01,3.162076374316892924e+00,3.567916714911323339e-02,4.312038971571353777e-06
2.458002533912658771e-01,3.162069609246685786e+00,3.627376819648476386e-02,4.411302074939501966e-06
2.497647736072540203e-01,3.162062732381890839e+00,3.686836668405611694e-02,4.443213189912037182e-06
2.537292938232421635e-01,3.162055743723676926e+00,3.746296256169823896e-02,4.508218238518305151e-06
2.576938140392303622e-01,3.162048643273272841e+00,3.805755578593569832e-02,4.623590143688039365e-06
2.616583342552185054e-01,3.162041431031985539e+00,3.865214632356573504e-02,4.679839917422296242e-06
2.656228544712066486e-01,3.162034107001070460e+00,3.924673412942645406e-02,4.716173440334670396e-06
2.695873746871948473e-01,3.162026671181778603e+00,3.984131915426401133e-02,4.822067215500178185e-06
2.735518949031829905e-01,3.162019123575467550e+00,4.043590136289966497e-02,4.911766757389227452e-06
2.775164151191711337e-01,3.162011464183495324e+00,4.103048071697669441e-02,4.940429736194486001e-06
2.814809353351592769e-01,3.162003693007158223e+00,4.162505716570721187e-02,5.016710437207735920e-06
2.854454555511474756e-01,3.161995810047837807e+00,4.221963066790595381e-02,5.129444235324411099e-06
2.894099757671356188e-01,3.161987815306981364e+00,4.281420118985960338e-02,5.175804195312684471e-06
2.933744959831237620e-01,3.161979708785967791e+00,4.340876868439395159e-02,5.219851490449671783e-06
2.973390161991119607e-01,3.161971490486190639e+00,4.400333310381961821e-02,5.331631789508232397e-06
3.013035364151001039e-01,3.161963160409160256e+00,4.459789441417635891e-02,5.410588632523533037e-06
3.052680566310882471e-01,3.161954718556358568e+00,4.519245257492805756e-02,5.438856355568553818e-06
