z,"Magnus (BS=100, 0.025s) |A1|","Magnus (BS=100, 0.025s) |A2|","Magnus (BS=100, 0.025s) |A3|","Magnus (BS=100, 0.025s) Total Power","Super Step (BS=1, 0.108s) |A1|","Super Step (BS=1, 0.108s) |A2|","Super Step (BS=1, 0.108s) |A3|","Super Step (BS=1, 0.108s) Total Power",DOP853 |A1|,DOP853 |A2|,DOP853 |A3|,DOP853 Total Power
0.0,3.1622776601683795,0.0,0.0,10.000000000000002,3.1622776601683795,0.0,0.0,10.000000000000002,3.1622776601683795,0.0,0.0,10.000000000000002
3.964520215988159,3.1622721642607594,0.005895687404359378,3.406550293862232e-06,10.000000000000002,3.1622776601683795,0.005946780249438638,0.0,10.000035364195337,3.1622720685717907,0.005946786058269755,8.137722825386997e-06,9.999999999999957
7.929040431976318,3.1622556690003867,0.011793380706279687,6.814259602858239e-06,10.000000000000002,3.1622664770278917,0.011893560498877312,1.1403512529799321e-05,10.000070728645774,3.162255293898528,0.01189351747842533,2.1274898866364756e-05,9.999999999999899
11.893560409545898,3.1622281633326357,0.017693019001726287,1.0223092736408385e-05,10.000000000000002,3.1622441108330945,0.01784030245370241,2.2711829903294486e-05,10.000106093406057,3.1622273364834825,0.017840171275168213,2.6177373667535777e-05,9.999999999999801
15.858080863952637,3.162189636528729,0.023594542683577274,1.3633015253294072e-05,10.000000000000002,3.162210561896458,0.023786976686457365,2.4636360989345593e-05,10.000141458636346,3.162188196797984,0.02378670811242484,2.3417375444754353e-05,9.999999999999686
19.822601318359375,3.1621400782034046,0.029497890251208407,1.704399161822397e-05,10.000000000000002,3.1621658306538376,0.029733530846502376,2.8510642978333496e-05,10.00017682422413,3.1621378754705067,0.029733065456624005,3.6510096105792725e-05,9.999999999999565
23.787120819091797,3.1620794783206696,0.0354029993763318,2.0455985817679577e-05,10.000000000000002,3.162109917743123,0.035679915563787405,4.275803278197517e-05,10.000212190092308,3.1620763734514754,0.03567920911996288,4.995972906579111e-05,9.999999999999437
27.75164031982422,3.1620078271551146,0.041309810457853556,2.386896341392529e-05,10.000000000000002,3.1620428241136693,0.0416261028586355,4.949743730514713e-05,10.000247556417943,3.1620036918951637,0.04162511347658103,4.866941334340702e-05,9.999999999999295
31.71615982055664,3.1619251153300456,0.047218262364503896,2.728288908508418e-05,10.000000000000002,3.161964550833394,0.04757205073013906,4.973622898433795e-05,10.000282923211389,3.161919831968506,0.047570720146166395,5.280327212229168e-05,9.999999999999154
35.68067932128906,3.1618313338078954,0.053128293857760266,3.069772744730823e-05,10.000000000000002,3.161875099061496,0.0535177030436667,6.091269962987659e-05,10.000318290314572,3.161824795125145,0.05351597912939433,7.006179666066122e-05,9.999999999998996
39.645198822021484,3.1617264738912128,0.059039843594937955,3.411344305656415e-05,10.000000000000002,3.161774470322025,0.05946302500593658,7.280323434617811e-05,10.000353657823291,3.161718583212591,0.059460868870090444,7.51013877683112e-05,9.99999999999884
43.609718322753906,3.161610527223616,0.06495285013229428,3.753000041042698e-05,10.000000000000002,3.1616626663726275,0.06540798494737667,7.375987768948004e-05,10.000389025869866,3.1616011980555454,0.06540534475929097,7.300218714459328e-05,9.99999999999866
47.57423782348633,3.1614834857907237,0.07086725192814626,4.094736394988147e-05,10.000000000000002,3.1615396889408425,0.07135252826981234,7.921803415341228e-05,10.00042439431415,3.1614726415511627,0.07134934568514913,8.71336094744373e-05,9.999999999998453
51.53875732421875,3.161345341921051,0.07678298734600121,4.4365498061131013e-05,10.000000000000002,3.161405540038275,0.07729660911945598,9.356222690799098e-05,10.000459763119952,3.1613329161299415,0.07729284214292251,9.972492424943787e-05,9.99999999999823
55.50327682495117,3.1611960882868804,0.08269999465770006,4.778436707741374e-05,10.000000000000002,3.1612602220954593,0.08324020008310798,9.877213609540987e-05,10.000495132468844,3.161182024386405,0.08323580483246468,9.740711021274062e-05,9.999999999997984
59.467796325683594,3.161035717905103,0.08861821204657262,5.1203935280825834e-05,10.000000000000002,3.16110373751351,0.08918325550852615,9.970689359815806e-05,10.000530502326447,3.1610199687336134,0.08917817277858513,0.0001037543176775471,9.99999999999774
63.432315826416016,3.160864224138032,0.0945375776106053,5.462416690415161e-05,10.000000000000002,3.160936088760143,0.09512572075446935,0.00011214076726776212,10.000565872550881,3.1608467520252477,0.09511990120696713,0.00012084413090647798,9.999999999997485
67.39683532714844,3.160681600694185,0.10045802936561976,5.8045026132700405e-05,10.000000000000002,3.1607572788328584,0.10106756410713534,0.00012273359836814817,10.000601243272982,3.1606623776160445,0.10106096868560169,0.00012380638344369836,9.9999999999972
71.36135864257812,3.1604878414372406,0.10637951094663464,6.146648039857458e-05,10.000000000000002,3.160567310890253,0.10700875103226079,0.00012296908955235165,10.000636614586927,3.1604668486147247,0.10700132557015017,0.00012300587481189315,9.999999999996904
75.32587432861328,3.1602829413457445,0.11230194312020866,6.488848392039458e-05,10.000000000000002,3.160366187931646,0.11294922557385577,0.00013022210605229264,10.000671986337135,3.16026016822078,0.11294091349494832,0.00013860991524487093,9.999999999996614
79.29039764404297,3.160066894382596,0.11822528646927037,6.831101392282874e-05,10.000000000000002,3.160153913388141,0.11888894569730304,0.00014427796662423386,10.000707358527528,3.1600423403848454,0.11887970686773411,0.00014921937252784147,9.99999999999631
83.25491333007812,3.1598396964799043,0.12414945591510859,7.17340212470786e-05,10.000000000000002,3.1599304911557438,0.12482788366810565,0.00014784704624241967,10.000742731335588,3.159813369073271,0.12481767193232605,0.00014627098569924984,9.999999999995982
