Threshold,Domains,Intensity,Retention
0.5,8176,3.713569021381105,1.0
0.55,8050,3.69791306596669,0.9957841216026214
0.6,7884,3.6698186113424387,0.9882187701947182
0.65,7660,3.6186986859749015,0.9744530571910791
0.7,7432,3.547085424000353,0.9551688425818364
0.75,7198,3.451847672979132,0.9295229610934667
0.8,6916,3.3090915632756204,0.8910812063067415
0.8500000000000001,6616,3.1216491390871712,0.8406061988114619
0.9,6278,2.8717922809204866,0.7733240622123794
0.95,5894,2.545240947436282,0.6853894280089851
1.0,5476,2.1536917039621586,0.579951979231339
1.05,5022,1.707245241078223,0.459731657402529
1.1,4622,1.3183726993750127,0.3550149981821799
1.15,4394,1.1064386845054692,0.297944828313431
1.2000000000000002,4394,1.1064386845054692,0.297944828313431
1.25,4394,1.1064386845054692,0.297944828313431
1.3,4394,1.1064386845054692,0.297944828313431
