wavelength_um,target_amp,holographic_amp,periodic_amp,phase_rad
1.063104104104104053e+00,5.841266287731669262e-05,4.216428141444025150e-05,1.275249466738769162e-02,-2.903614096210723527e+00
1.063106106106106008e+00,5.965431805292106506e-05,4.372967288133877012e-05,1.281681642121109896e-02,-2.800822319161359264e+00
1.063108108108107963e+00,6.074892587472823321e-05,4.617426267272547135e-05,1.287728873707623400e-02,-2.711976946838703828e+00
1.063110110110110140e+00,6.169334947745600103e-05,4.934233475129493746e-05,1.293387542279065758e-02,-2.639669453069669824e+00
1.063112112112112095e+00,6.248488928058598462e-05,5.307392729965874282e-05,1.298654130235346593e-02,-2.584019163266894292e+00
1.063114114114114050e+00,6.312129093751880807e-05,5.722418934288562859e-05,1.303525223047215242e-02,-2.543661448920800261e+00
1.063116116116116006e+00,6.360075193187075956e-05,6.167080834484175739e-05,1.307997510655095792e-02,-2.516610302220068984e+00
1.063118118118117961e+00,6.392192683979315993e-05,6.631407517636528446e-05,1.312067788854190571e-02,-2.500796114139070880e+00
1.063120120120120138e+00,6.408393133790647039e-05,7.107376823055874587e-05,1.315732960631835896e-02,-2.494327257507067852e+00
1.063122122122122093e+00,6.408634479215055571e-05,7.588530396379174127e-05,1.318990037543481958e-02,-2.495581992942873306e+00
1.063124124124124048e+00,6.392921154008836097e-05,8.069622709021047476e-05,1.321836140940767061e-02,-2.503214821368583642e+00
1.063126126126126003e+00,6.361304078595268828e-05,8.546336465646885768e-05,1.324268503333074672e-02,-2.516127241233182765e+00
1.063128128128128180e+00,6.313880518807461252e-05,9.015064248444158029e-05,1.326284469591848189e-02,-2.533428218256124964e+00
1.063130130130130135e+00,6.250793804078758639e-05,9.472745494871600484e-05,1.327881498178490674e-02,-2.554395583939184089e+00
1.063132132132132091e+00,6.172232915794173720e-05,9.916746301722206456e-05,1.329057162354696509e-02,-2.578442481366042038e+00
1.063134134134134046e+00,6.078431938960436311e-05,1.034477119393601677e-04,1.329809151346453278e-02,-2.605089736542678835e+00
1.063136136136136001e+00,5.969669385655903355e-05,1.075479835408669739e-04,1.330135271478667842e-02,-2.633943719859420884e+00
1.063138138138138178e+00,5.846267388383179014e-05,1.114503196058159730e-04,1.330033447291387866e-02,-2.664678841930061992e+00
1.063140140140140133e+00,5.708590761193945508e-05,1.151386700008368827e-04,1.329501722622434233e-02,-2.697023789959935858e+00
1.063142142142142088e+00,5.557045945854424771e-05,1.185986317009314102e-04,1.328538261661582273e-02,-2.730750710759684452e+00
1.063144144144144043e+00,5.392079825161691207e-05,1.218172547947437510e-04,1.327141349966374194e-02,-2.765666691785762854e+00
1.063146146146145998e+00,5.214178429888559650e-05,1.247828976299760579e-04,1.325309395466055078e-02,-2.801607020060312259e+00
1.063148148148148175e+00,5.023865521722692634e-05,1.274851185953938305e-04,1.323040929422261876e-02,-2.838429817903572516e+00
1.063150150150150131e+00,4.821701069852357880e-05,1.299145951102244898e-04,1.320334607329762093e-02,-2.876011742589922537e+00
1.063152152152152086e+00,4.608279624397184276e-05,1.320630629233821073e-04,1.317189209874515370e-02,-2.914244509439862796e+00
1.063154154154154041e+00,4.384228584263676255e-05,1.339232708769677051e-04,1.313603643741597000e-02,-2.953032054931519212e+00
1.063156156156155996e+00,4.150206371606632137e-05,1.354889470891473564e-04,1.309576942497294415e-02,-2.992288193691893472e+00
1.063158158158158173e+00,3.906900513560814713e-05,1.367547739770098685e-04,1.305108267359956185e-02,-3.031934659306713353e+00
