domain_index,structure_z_um,structure_width_um
114,6.313477040960548038e+03,3.964506776113012165e+00
115,6.317441547736661050e+03,1.784028049250900949e+01
116,6.335281828229170060e+03,2.378704065668080148e+01
117,6.359068868885850861e+03,1.982253388056960830e+00
118,6.361051122273907822e+03,3.964506776113012165e+00
119,6.365015629050020834e+03,1.784028049250900949e+01
120,6.382855909542529844e+03,1.585802710445386765e+01
121,6.398713936646983711e+03,1.982253388056960830e+00
122,6.400696190035040672e+03,3.964506776113012165e+00
123,6.404660696811153684e+03,1.784028049250900949e+01
124,6.422500977303662694e+03,2.378704065668080148e+01
125,6.446288017960343495e+03,1.982253388056960830e+00
126,6.448270271348400456e+03,3.964506776113012165e+00
127,6.452234778124513468e+03,9.911266940282985161e+00
128,6.462146045064796454e+03,2.378704065668080148e+01
129,6.485933085721477255e+03,1.982253388056960830e+00
130,6.487915339109534216e+03,3.964506776113012165e+00
131,6.491879845885647228e+03,1.784028049250900949e+01
132,6.509720126378156237e+03,1.585802710445386765e+01
133,6.525578153482610105e+03,1.982253388056960830e+00
134,6.527560406870667066e+03,3.964506776113012165e+00
135,6.531524913646780078e+03,1.784028049250900949e+01
136,6.549365194139289088e+03,1.585802710445386765e+01
137,6.565223221243742955e+03,1.982253388056960830e+00
138,6.567205474631799916e+03,3.964506776113012165e+00
139,6.571169981407912928e+03,1.784028049250900949e+01
140,6.589010261900421938e+03,1.585802710445386765e+01
141,6.604868289004875805e+03,1.982253388056960830e+00
142,6.606850542392932766e+03,3.964506776113012165e+00
143,6.610815049169045778e+03,1.784028049250900949e+01
144,6.628655329661554788e+03,1.585802710445386765e+01
145,6.644513356766008656e+03,1.982253388056960830e+00
146,6.646495610154065616e+03,3.964506776113012165e+00
147,6.650460116930178629e+03,9.911266940282985161e+00
148,6.660371383870461614e+03,2.378704065668080148e+01
149,6.684158424527142415e+03,1.982253388056960830e+00
150,6.686140677915199376e+03,3.964506776113012165e+00
151,6.690105184691312388e+03,9.911266940282985161e+00
152,6.700016451631595373e+03,1.585802710445386765e+01
153,6.715874478736049241e+03,1.982253388056960830e+00
154,6.717856732124106202e+03,3.964506776113012165e+00
155,6.721821238900219214e+03,1.784028049250900949e+01
156,6.739661519392728223e+03,1.585802710445386765e+01
157,6.755519546497182091e+03,1.982253388056960830e+00
158,6.757501799885239052e+03,3.964506776113012165e+00
159,6.761466306661352064e+03,9.911266940282985161e+00
160,6.771377573601635049e+03,1.585802710445386765e+01
161,6.787235600706088917e+03,1.982253388056960830e+00
162,6.789217854094145878e+03,3.964506776113012165e+00
163,6.793182360870258890e+03,9.911266940282985161e+00
164,6.803093627810541875e+03,1.585802710445386765e+01
165,6.818951654914995743e+03,1.982253388056960830e+00
166,6.820933908303052704e+03,3.964506776113012165e+00
167,6.824898415079165716e+03,1.784028049250900949e+01
168,6.842738695571674725e+03,1.585802710445386765e+01
169,6.858596722676128593e+03,1.982253388056960830e+00
170,6.860578976064185554e+03,3.964506776113012165e+00
171,6.864543482840298566e+03,9.911266940282985161e+00
172,6.874454749780581551e+03,1.585802710445386765e+01
173,6.890312776885035419e+03,1.982253388056960830e+00
174,6.892295030273092380e+03,3.964506776113012165e+00
175,6.896259537049205392e+03,9.911266940282985161e+00
176,6.906170803989488377e+03,1.585802710445386765e+01
177,6.922028831093942244e+03,1.982253388056960830e+00
178,6.924011084481999205e+03,3.964506776113012165e+00
179,6.927975591258112217e+03,9.911266940282985161e+00
180,6.937886858198395203e+03,1.585802710445386765e+01
181,6.953744885302849070e+03,1.982253388056960830e+00
182,6.955727138690906031e+03,3.964506776113012165e+00
183,6.959691645467019043e+03,9.911266940282985161e+00
184,6.969602912407302028e+03,1.585802710445386765e+01
185,6.985460939511755896e+03,1.982253388056960830e+00
186,6.987443192899812857e+03,3.964506776113012165e+00
187,6.991407699675925869e+03,9.911266940282985161e+00
188,7.001318966616208854e+03,1.585802710445386765e+01
189,7.017176993720662722e+03,1.982253388056960830e+00
190,7.019159247108719683e+03,3.964506776113012165e+00
191,7.023123753884832695e+03,9.911266940282985161e+00
192,7.033035020825115680e+03,1.585802710445386765e+01
193,7.048893047929569548e+03,1.982253388056960830e+00
194,7.050875301317626509e+03,3.964506776113012165e+00
195,7.054839808093739521e+03,1.982253388056960830e+00
196,7.056822061481796482e+03,1.585802710445386765e+01
197,7.072680088586250349e+03,1.982253388056960830e+00
198,7.074662341974307310e+03,3.964506776113012165e+00
